<SIL> <SIL> SIL
<UNK> <UNK> SPN
<eps> <eps> SIL
a1 a1 a1
iau1 iau1 iau1
iau5 iau5 iau5
iaunn1 iaunn1 iaunn1
ik4 ik4 ik4
ik8 ik8 ik8
im1 im1 im1
in1 in1 in1
in2 in2 in2
in3 in3 in3
ing1 ing1 ing1
ing2 ing2 ing2
ing3 ing3 ing3
ing5 ing5 ing5
ing7 ing7 ing7
inn3 inn3 inn3
inn5 inn5 inn5
io1 io1 io1
io5 io5 io5
io7 io7 io7
ioh4 ioh4 ioh4
ioh8 ioh8 ioh8
iok4 iok4 iok4
iok8 iok8 iok8
iong2 iong2 iong2
iong5 iong5 iong5
ip4 ip4 ip4
it4 it4 it4
iu1 iu1 iu1
iu2 iu2 iu2
iu3 iu3 iu3
iu5 iu5 iu5
iu7 iu7 iu7
iunn2 iunn2 iunn2
iunn5 iunn5 iunn5
iunn7 iunn7 iunn7
ji5 ji5 j i5
ji7 ji7 j i7
jia2 jia2 j ia2
jiah4 jiah4 j iah4
jiam2 jiam2 j iam2
jian5 jian5 j ian5
jiap8 jiap8 j iap8
jiau2 jiau2 j iau2
jiau3 jiau3 j iau3
jik4 jik4 j ik4
jim2 jim2 j im2
jim7 jim7 j im7
jin5 jin5 j in5
jing5 jing5 j ing5
jio7 jio7 j io7
jioh8 jioh8 j ioh8
jiok8 jiok8 j iok8
jiong5 jiong5 j iong5
jip8 jip8 j ip8
jiu5 jiu5 j iu5
ju2 ju2 j u2
juah8 juah8 j uah8
jue5 jue5 j ue5
jun7 jun7 j un7
ka1 ka1 k a1
ka3 ka3 k a3
kah4 kah4 k ah4
kai1 kai1 k ai1
kai2 kai2 k ai2
kai3 kai3 k ai3
kainn1 kainn1 k ainn1
kak4 kak4 k ak4
kam1 kam1 k am1
kam2 kam2 k am2
kan1 kan1 k an1
kan2 kan2 k an2
kan3 kan3 k an3
kang1 kang1 k ang1
kang2 kang2 k ang2
kang3 kang3 k ang3
kang5 kang5 k ang5
kang7 kang7 k ang7
kann1 kann1 k ann1
kap4 kap4 k ap4
kat4 kat4 k at4
kau1 kau1 k au1
kau2 kau2 k au2
kau3 kau3 k au3
kau5 kau5 k au5
kau7 kau7 k au7
ke1 ke1 k e1
ke2 ke2 k e2
ke3 ke3 k e3
ke7 ke7 k e7
keh4 keh4 k eh4
kenn2 kenn2 k enn2
kha1 kha1 kh a1
kha2 kha2 kh a2
kha3 kha3 kh a3
khai3 khai3 kh ai3
khainn2 khainn2 kh ainn2
khak4 khak4 kh ak4
kham1 kham1 kh am1
kham2 kham2 kh am2
kham3 kham3 kh am3
khan1 khan1 kh an1
khang1 khang1 kh ang1
khann1 khann1 kh ann1
khap8 khap8 kh ap8
khau3 khau3 kh au3
khe3 khe3 kh e3
kheh4 kheh4 kh eh4
kheh8 kheh8 kh eh8
khenn1 khenn1 kh enn1
khennh8 khennh8 kh ennh8
khi1 khi1 kh i1
khi2 khi2 kh i2
khi3 khi3 kh i3
khia5 khia5 kh ia5
khia7 khia7 kh ia7
khiah4 khiah4 kh iah4
khiak8 khiak8 kh iak8
khiam3 khiam3 kh iam3
khiam7 khiam7 kh iam7
khian1 khian1 kh ian1
khian3 khian3 kh ian3
khiang3 khiang3 kh iang3
khiat8 khiat8 kh iat8
khiau1 khiau1 kh iau1
khiau2 khiau2 kh iau2
khiau3 khiau3 kh iau3
khim5 khim5 kh im5
khin1 khin1 kh in1
khin5 khin5 kh in5
khing1 khing1 kh ing1
khing2 khing2 kh ing2
khing3 khing3 kh ing3
khing5 khing5 kh ing5
khio2 khio2 kh io2
khioh4 khioh4 kh ioh4
khiong2 khiong2 kh iong2
khip4 khip4 kh ip4
khit4 khit4 kh it4
khiunn1 khiunn1 kh iunn1
khng3 khng3 kh ng3
kho1 kho1 kh o1
kho2 kho2 kh o2
kho3 kho3 kh o3
khok4 khok4 kh ok4
khong1 khong1 kh ong1
khong3 khong3 kh ong3
khonn2 khonn2 kh onn2
khoo1 khoo1 kh oo1
khoo2 khoo2 kh oo2
khoo3 khoo3 kh oo3
khu1 khu1 kh u1
khu7 khu7 kh u7
khua3 khua3 kh ua3
khuah4 khuah4 kh uah4
khuai3 khuai3 kh uai3
khuan1 khuan1 kh uan1
khuan2 khuan2 kh uan2
khuan5 khuan5 kh uan5
khuann3 khuann3 kh uann3
khue1 khue1 kh ue1
khue5 khue5 kh ue5
khueh4 khueh4 kh ueh4
khui1 khui1 kh ui1
khui3 khui3 kh ui3
khun3 khun3 kh un3
ki1 ki1 k i1
ki3 ki3 k i3
ki5 ki5 k i5
ki7 ki7 k i7
kiah8 kiah8 k iah8
kiam1 kiam1 k iam1
kiam2 kiam2 k iam2
kiam3 kiam3 k iam3
kiam5 kiam5 k iam5
kian3 kian3 k ian3
kian7 kian7 k ian7
kiann1 kiann1 k iann1
kiann2 kiann2 k iann2
kiann3 kiann3 k iann3
kiann7 kiann7 k iann7
kiap4 kiap4 k iap4
kiat4 kiat4 k iat4
kiat8 kiat8 k iat8
kiau1 kiau1 k iau1
kiau2 kiau2 k iau2
kih4 kih4 k ih4
kik4 kik4 k ik4
kik8 kik8 k ik8
kim1 kim1 k im1
kim3 kim3 k im3
kin1 kin1 k in1
kin2 kin2 k in2
kin7 kin7 k in7
king1 king1 k ing1
king2 king2 k ing2
king3 king3 k ing3
kinn3 kinn3 k inn3
kio3 kio3 k io3
kio5 kio5 k io5
kioh4 kioh4 k ioh4
kiok8 kiok8 k iok8
kiong1 kiong1 k iong1
kiong2 kiong2 k iong2
kiong7 kiong7 k iong7
kip4 kip4 k ip4
kiu2 kiu2 k iu2
kiu3 kiu3 k iu3
kiu5 kiu5 k iu5
kiunn1 kiunn1 k iunn1
kng2 kng2 k ng2
ko1 ko1 k o1
ko3 ko3 k o3
ko5 ko5 k o5
koh4 koh4 k oh4
kok4 kok4 k ok4
kong1 kong1 k ong1
kong2 kong2 k ong2
kong3 kong3 k ong3
kong5 kong5 k ong5
konn5 konn5 k onn5
koo1 koo1 k oo1
koo2 koo2 k oo2
koo3 koo3 k oo3
koo5 koo5 k oo5
ku1 ku1 k u1
ku3 ku3 k u3
ku7 ku7 k u7
kua1 kua1 k ua1
kua2 kua2 k ua2
kua3 kua3 k ua3
kuah4 kuah4 k uah4
kuai1 kuai1 k uai1
kuai2 kuai2 k uai2
kuai3 kuai3 k uai3
kuan1 kuan1 k uan1
kuan2 kuan2 k uan2
kuan3 kuan3 k uan3
kuan5 kuan5 k uan5
kuan7 kuan7 k uan7
