sip8 1.0	s ip8
liok8 1.0	l iok8
pueh4 1.0	p ueh4
e5  1.0	e5
po3 1.0	p o3
tsua2 1.0	ts ua2
siau1 1.0	s iau1
sit4 1.0	s it4
tsing1 1.0	ts ing1
ing5  1.0	ing5
hing7 1.0	h ing7
hok4 1.0	h ok4
ui7  1.0	ui7
ian5  1.0	ian5
ap8  1.0	ap8
too2 1.0	t oo2
pun2 1.0	p un2
tse3 1.0	ts e3
gin2 1.0	g in2
tshi3 1.0	tsh i3
tsin3 1.0	ts in3
hun7 1.0	h un7
ting2 1.0	t ing2
tshun1 1.0	tsh un1
am3  1.0	am3
tun3 1.0	t un3
piann3 1.0	p iann3
sau3 1.0	s au3
khe3 1.0	kh e3
tin7 1.0	t in7
tsu3 1.0	ts u3
i3  1.0	i3
hue3 1.0	h ue3
bun7 1.0	b un7
tshia1 1.0	tsh ia1
khong1 1.0	kh ong1
kik4 1.0	k ik4
suan2 1.0	s uan2
hang7 1.0	h ang7
tho3 1.0	th o3
ku3 1.0	k u3
gi2 1.0	g i2
biau5 1.0	b iau5
sut8 1.0	s ut8
iong5  1.0	iong5
the3 1.0	th e3
hu5 1.0	h u5
hah8 1.0	h ah8
ui3  1.0	ui3
tsiann5 1.0	ts iann5
hian5 1.0	h ian5
he3 1.0	h e3
su1 1.0	s u1
lo2 1.0	l o2
sai1 1.0	s ai1
kha3 1.0	kh a3
hng1 1.0	h ng1
tsia2 1.0	ts ia2
nia5 1.0	n ia5
khonn2 1.0	kh onn2
ling5 1.0	l ing5
he7 1.0	h e7
lau5 1.0	l au5
ji7 1.0	j i7
bio2 1.0	b io2
sia2 1.0	s ia2
pai5 1.0	p ai5
te7 1.0	t e7
ting1 1.0	t ing1
kim1 1.0	k im1
kue1 1.0	k ue1
hiong1 1.0	h iong1
koo1 1.0	k oo1
kat4 1.0	k at4
tshai3 1.0	tsh ai3
io5  1.0	io5
tia1 1.0	t ia1
sioh4 1.0	s ioh4
pa2 1.0	p a2
meh4 1.0	m eh4
lam5 1.0	l am5
pue5 1.0	p ue5
bong7 1.0	b ong7
bing5 1.0	b ing5
tsai3 1.0	ts ai3
tshoo1 1.0	tsh oo1
kong1 1.0	k ong1
guan5 1.0	g uan5
khoo1 1.0	kh oo1
tiam2 1.0	t iam2
ki1 1.0	k i1
ang3  1.0	ang3
tsiu2 1.0	ts iu2
honnh4 1.0	h onnh4
jim7 1.0	j im7
tiong5 1.0	t iong5
pin1 1.0	p in1
peh4 1.0	p eh4
kin7 1.0	k in7
the2 1.0	th e2
hiau2 1.0	h iau2
png7 1.0	p ng7
tau3 1.0	t au3
tsioh4 1.0	ts ioh4
tshing7 1.0	tsh ing7
thiann3 1.0	th iann3
penn7 1.0	p enn7
inn3  1.0	inn3
tan5 1.0	t an5
khuai3 1.0	kh uai3
kam2 1.0	k am2
kak4 1.0	k ak4
sio1 1.0	s io1
kuann5 1.0	k uann5
na5 1.0	n a5
au5  1.0	au5
ngiau1 1.0	ng iau1
puann3 1.0	p uann3
tham5 1.0	th am5
sik4 1.0	s ik4
lang5 1.0	l ang5
hueh4 1.0	h ueh4
jip8 1.0	j ip8
tsit4 1.0	ts it4
ko3 1.0	k o3
tsio3 1.0	ts io3
kue2 1.0	k ue2
giam5 1.0	g iam5
moo7 1.0	m oo7
ling7 1.0	l ing7
thue3 1.0	th ue3
hun2 1.0	h un2
liap8 1.0	l iap8
tai3 1.0	t ai3
tsi3 1.0	ts i3
tan1 1.0	t an1
kian7 1.0	k ian7
po2 1.0	p o2
kha2 1.0	kh a2
kheh8 1.0	kh eh8
the1 1.0	th e1
khit4 1.0	kh it4
ling2 1.0	l ing2
pinn5 1.0	p inn5
lo3 1.0	l o3
kang5 1.0	k ang5
pue7 1.0	p ue7
